he2022
105
pe
wavel  k
3.8336700011  n  1.32791
3.8424600007  n  1.32703
3.8512400011  n  1.32601
3.860020003  n  1.32494
3.8688099993  n  1.32397
3.8775900052  n  1.32318
3.8863700029  n  1.3221
3.8951599926  n  1.32119
3.903939996  n  1.32051
3.9127300005  n  1.31937
3.9215100047  n  1.31868
3.9302900026  n  1.31806
3.9390800007  n  1.3171
3.9478599972  n  1.31634
3.9566400052  n  1.31566
3.9654299999  n  1.31477
3.9742100001  n  1.31439
3.9829900039  n  1.31337
3.9917799989  n  1.31267
4.0005599984  n  1.31193
4.0093399981  n  1.31109
4.0181299954  n  1.31049
4.0269100033  n  1.3098
4.0356899958  n  1.30922
4.0444799938  n  1.30875
4.0532599985  n  1.30858
4.0620400082  n  1.30791
4.0708299995  n  1.30739
4.0796099991  n  1.30637
4.0884000064  n  1.30626
4.0971799962  n  1.30557
4.1059599968  n  1.30542
4.1147499916  n  1.30472
4.1235300069  n  1.30403
4.1323100042  n  1.30365
4.1410999984  n  1.3033
4.1498800044  n  1.30283
4.1586599986  n  1.30215
4.1674500084  n  1.30186
4.1762300072  n  1.30131
4.1850100014  n  1.30083
4.1937999935  n  1.30039
4.2025800067  n  1.29997
4.2113600055  n  1.29955
4.2201499992  n  1.29919
4.2289299959  n  1.29879
4.2377200059  n  1.29842
4.2464999997  n  1.29802
4.2552800004  n  1.29764
4.2640700004  n  1.29721
4.2728499979  n  1.29673
4.2816300022  n  1.29624
4.2904200061  n  1.29583
4.299200004  n  1.29545
4.3079800065  n  1.29511
4.3167700048  n  1.29476
4.3255499935  n  1.29443
4.334330001  n  1.29414
4.3431199954  n  1.29391
4.3518999951  n  1.29367
4.3606800065  n  1.29347
4.3694699906  n  1.29308
4.3782499941  n  1.29346
4.3870299985  n  1.29288
4.3958199937  n  1.29316
4.4046000022  n  1.29309
4.4133900081  n  1.29323
4.4221699938  n  1.29373
4.4309499961  n  1.29385
4.4397399973  n  1.29441
4.4485200005  n  1.29455
4.457299991  n  1.29521
4.4660899947  n  1.29558
4.4748700004  n  1.29651
4.4836499981  n  1.29697
4.4924399962  n  1.29786
4.5012199927  n  1.29859
4.5100000005  n  1.2992
4.5187900078  n  1.30026
4.527570006  n  1.30092
