mastrapa2008Ia
97.5
ne
wavel, n, k
1.163235 1.289872 9.532570E-06
1.163366 1.289872 9.897963E-06
1.163496 1.289872 9.370268E-06
1.163627 1.289871 9.628641E-06
1.163758 1.289872 1.166668E-05
1.163888 1.289873 1.081087E-05
1.164019 1.289872 8.766076E-06
1.164150 1.289871 9.497107E-06
1.164280 1.289872 1.085670E-05
1.164411 1.289872 1.049593E-05
1.164542 1.289872 1.054343E-05
1.164673 1.289872 1.018406E-05
1.164803 1.289872 1.178329E-05
1.164934 1.289872 1.077643E-05
1.165065 1.289873 1.102190E-05
1.165196 1.289873 1.003475E-05
1.165327 1.289872 1.029691E-05
1.165458 1.289872 1.069327E-05
1.165589 1.289872 9.747152E-06
1.165720 1.289872 1.000414E-05
1.165851 1.289872 1.051007E-05
1.165982 1.289872 1.104202E-05
1.166113 1.289873 1.068206E-05
1.166245 1.289872 8.870615E-06
1.166376 1.289871 1.070780E-05
1.166507 1.289872 1.111071E-05
1.166638 1.289872 1.160161E-05
1.166769 1.289872 1.045326E-05
1.166901 1.289872 1.062792E-05
1.167032 1.289872 1.056823E-05
1.167163 1.289872 1.016939E-05
1.167295 1.289872 9.992043E-06
1.167426 1.289872 1.101972E-05
1.167558 1.289872 1.110244E-05
1.167689 1.289872 1.005715E-05
1.167821 1.289872 1.009832E-05
1.167952 1.289872 1.040862E-05
1.168084 1.289871 1.005913E-05
1.168215 1.289871 1.035849E-05
1.168347 1.289871 1.096979E-05
1.168479 1.289871 1.000063E-05
1.168610 1.289871 1.126293E-05
1.168742 1.289871 1.110265E-05
1.168874 1.289871 1.150132E-05
1.169006 1.289872 1.094614E-05
1.169137 1.289871 1.068970E-05
1.169269 1.289871 1.124380E-05
1.169401 1.289871 1.085107E-05
1.169533 1.289871 1.057464E-05
1.169665 1.289871 1.100066E-05
1.169797 1.289871 1.135697E-05
1.169929 1.289871 1.223771E-05
1.170061 1.289872 1.291213E-05
1.170193 1.289872 1.171590E-05
1.170325 1.289872 1.013702E-05
1.170457 1.289871 1.127758E-05
1.170589 1.289871 1.166890E-05
1.170721 1.289872 1.203203E-05
1.170854 1.289872 1.189291E-05
1.170986 1.289872 1.098125E-05
